transcription,phoneme_sentence,audio_path
ba é cliseadh cumhachta tar éis ghnáth-thástáil ar chóras ceannais dóiteáin ba chúis le hoscailt comhlaí faoisimh agus sceith amhola in aice le stáisiún pumpála 9 fort greely,ˈbˠə|ˈeː|ˈclʲiʃuː|ˈkuvˠəɾˠt̪ˠə|ˈt̪ˠaɾˠ|ˈeːʃ|[UNK]|ˈeɾʲ|xoːɾˠəsˠ|ˈcaːˈn̻ˠaʃ|ˈd̪ˠoːˈitʲaːnʲ|ˈbˠə|ˈxuːʃ|ˈlʲe|hasˠkəlʲtʲ|koːl̻ˠiː|ˈfˠiːʃəvʲ|ˈəɡəsˠ|ˈʃcaihʲ|ˈavˠol̻ˠa|ˈinʲ|ˈacə|ˈlʲe|ˈsˠt̪ˠaːʃun̻ˠ|pˠumˠpˠaːl̻ˠə|[UNK]|[UNK]|[UNK],train/1182813442317075964.wav
le tríocha bliain anuas ainneoin í a bheith fós ina stát cumannach go hoifigiúil tá geilleagar margaidh forbartha ag an tsín,ˈlʲe|ˈtʲɾʲiːhə|ˈbʲlʲianʲ|əˈn̻ˠuasˠ|ˈan̻ʲonʲ|ˈiː|ə|ˈvʲehʲ|ˈfˠoːsˠ|ˈin̻ˠə|ˈsˠt̪ˠaːt̪ˠ|kumˠən̻ˠah|ˈɡə|hofʲiɟuːlʲ|ˈt̪ˠaː|ˈɟel̻ʲəɡəɾˠ|ˈmˠaɾˠəɡiː|ˈfˠoˈɾˠbˠaɾˠhə|ˈeɟ|ˈən̻ˠ|[UNK],train/11829107546705445777.wav
is gnách dóibh bandaleithead níos mó agus seirbhís ar chaighdeán níos airde a thairiscint tá siad criptithe agus mar sin tá sé níos deacra spiaireacht a dhéanamh orthu,ˈisˠ|ˈɡɾˠaːh|ˈd̪ˠoːvʲ|ˈbˠan̻ˠˈd̪ˠalʲəhəd̪ˠ|ˈnʲiːsˠ|ˈmˠoː|ˈəɡəsˠ|ˈʃeɾʲəvʲiʃ|ˈeɾʲ|ˈxaidʲan̻ˠ|ˈnʲiːsˠ|aɾˠdʲə|ə|haɾʲiʃcinʲtʲ|ˈt̪ˠaː|ˈʃiːd̪ˠ|cɾʲipʲtʲiː|ˈəɡəsˠ|mˠaɾˠ|ˈʃinʲ|ˈt̪ˠaː|ˈʃeː|ˈnʲiːsˠ|dʲakɾˠə|ˈsˠpʲiaɾʲaxt̪ˠ|ə|ˈjeːn̻ˠuː|ˈoɾˠhu,train/11829432659507128526.wav
tá sé ina chuidiú fáinne a chaitheamh fosta ná caith ceann le cuma róchostasach air,ˈt̪ˠaː|ˈʃeː|ˈin̻ˠə|xidʲuː|ˈfˠaːn̻ʲə|ə|ˈxahʲuː|ˈfˠosˠt̪ˠə|ˈn̻ˠaː|ˈkaihʲ|ˈcin̻ˠ|ˈlʲe|ˈkumˠə|[UNK]|ˈeɾʲ,train/1182985322556425443.wav
ainneoin an mhéid sin a cuireadh ina leith fuair ma bua sách éasca ar ardán a mhol caidreamh níos dlúithe le mórthír na síne,ˈan̻ʲonʲ|ˈən̻ˠ|ˈvʲeːdʲ|ˈʃinʲ|ə|ˈkiɾʲuː|ˈin̻ˠə|ˈl̻ʲehʲ|ˈfˠuaɾʲ|[UNK]|ˈbˠuaj|ˈsˠaːh|ˈeːsˠkə|ˈeɾʲ|ˈaːɾˠd̪ˠan̻ˠ|ə|vˠal̻ˠ|ˈkadʲɾʲuː|ˈnʲiːsˠ|d̪ˠl̻ˠuːhʲə|ˈlʲe|ˈmˠoːɾˠˈhʲiːɾʲ|ˈn̻ˠə|ʃiːnʲə,train/1183231509771203721.wav
ach beidh an margadh tomhaltais do ríomhairí glúine difriúil agus athraithe ó bhonn tar éis do asus gradam a fháil ó feidhmeannach yuan de chuid poblacht na síne i ngradam inbhuanaithe 2007 na téaváine,ˈah|bʲeː|ˈən̻ˠ|ˈmˠaɾˠəɡuː|t̪ˠoːl̻ˠt̪ˠəʃ|ˈd̪ˠə|ˈɾˠiːˈoːəɾʲiː|ˈɡl̻ˠuːnʲə|ˈdʲifʲɾʲulʲ|ˈəɡəsˠ|ˈaˈɾˠahə|ˈoː|ˈvˠon̻ˠ|ˈt̪ˠaɾˠ|ˈeːʃ|ˈd̪ˠə|[UNK]|ˈɡɾˠad̪ˠəmˠ|ə|ˈaːlʲ|ˈoː|ˈfʲeːmʲən̻ˠah|[UNK]|ˈd̪ˠe|ˈxidʲ|ˈpˠobˠl̻ˠaxt̪ˠ|ˈn̻ˠə|ʃiːnʲə|ˈi|ŋɾˠad̪ˠəmˠ|inʲəvʲuan̻ˠiː|[UNK]|ˈn̻ˠə|[UNK],train/11835976520772540993.wav
bhí an cabhlach lochlannach a tháinig os comhair ethelred i 991 níos mó ná aon chabhlach ó aimsir guthrum céad bliain ó shin,ˈvʲiː|ˈən̻ˠ|ˈkaul̻ˠah|[UNK]|ə|ˈhaːnʲəɟ|ˈosˠ|ˈkoːɾʲ|[UNK]|ˈi|[UNK]|ˈnʲiːsˠ|ˈmˠoː|ˈn̻ˠaː|ˈeːn̻ˠ|xoːl̻ˠah|ˈoː|ˈamʲʃəɾʲ|[UNK]|ˈceːd̪ˠ|ˈbʲlʲianʲ|ˈoː|ˈhinʲ,train/11841338500615773119.wav
is éard is clog bitheolaíoch ann ná ascaltóir féinchothabhálach a leanfaidh le tréimhse de thimthriall go saor fiú amháin nuair nach dtugtar leideanna seachtracha,ˈisˠ|ˈeːɾˠd̪ˠ|ˈisˠ|ˈkl̻ˠoɡ|ˈbʲiˈoːl̻ˠiːah|ˈən̻ˠ|ˈn̻ˠaː|asˠkəl̻ˠt̪ˠoɾʲ|[UNK]|ə|lʲan̻̊ˠiː|ˈlʲe|ˈtʲɾʲeːvʲʃə|ˈd̪ˠe|hʲim̥ʲɾʲial̻ˠ|ˈɡə|ˈsˠiːɾˠ|ˈfʲuː|əˈvˠaːnʲ|ˈn̻ˠuːɾʲ|ˈn̻ˠah|d̪ˠuɡt̪ˠəɾˠ|lʲedʲən̻ˠə|ʃaɾˠt̪ˠɾˠahə,train/11842596534809955584.wav
deir mick o'flynn stiúrthóir gníomhach um chaomhnú agus oidhreacht na bpáirceanna leis an tseirbhís náisiúnta páirceanna agus fiadhúlra gur cuireadh oiliúint chuimsitheach sábháilteachta agus traenála ar an gceathrar lámhachóirí a roghnaíodh don chéad bhabhta lámhaigh,ˈdʲeɾʲ|[UNK]|[UNK]|ˈʃtʲuɾˠhoɾʲ|ˈɟɾʲiːvˠah|ˈumˠ|xiːvˠn̻ˠuː|ˈəɡəsˠ|ˈaiɾʲaxt̪ˠ|ˈn̻ˠə|bˠaːɾʲcən̻ˠə|ˈlʲiʃ|ˈən̻ˠ|tʲeɾʲəvʲiːʃ|ˈn̻ˠaːʃun̻ˠt̪ˠə|pˠaːɾʲcən̻ˠə|ˈəɡəsˠ|ˈfʲiˑəɣuːl̻ˠɾˠə|ˈɡəɾˠ|ˈkiɾʲuː|ˈolʲun̻ʲtʲ|ximʲʃihʲah|ˈsˠaːvˠaːlʲtʲəɾˠt̪ˠə|ˈəɡəsˠ|t̪ˠɾˠeːn̻ˠaːl̻ˠə|ˈeɾʲ|ˈən̻ˠ|ɟahɾˠəɾˠ|l̻ˠaːvˠəhoːɾʲiː|ə|ɾˠeːn̻ˠiːuː|ˈd̪ˠon̻ˠ|ˈçeːd̪ˠ|vˠoːt̪ˠə|ˈl̻ˠaːvˠiː,train/11845884371056470315.wav
tá béim á leagan ag rialtas na héireann ar a phráinne atá sé reachtaíocht pharlaiminteach a rith chun an fhadhb a fhuascailt,ˈt̪ˠaː|ˈbʲeːmʲ|aː|ˈl̻ʲaɡən̻ˠ|ˈeɟ|ˈɾˠial̻ˠt̪ˠəsˠ|ˈn̻ˠə|ˈheːɾʲən̻ˠ|ˈeɾʲ|ə|fˠɾˠaːn̻ʲə|əˈt̪ˠaː|ˈʃeː|ˈɾˠaxt̪ˠiːaxt̪ˠ|fˠaɾˠl̻ˠəmʲinʲtʲah|ə|ˈɾˠihʲ|ˈxun̻ˠ|ˈən̻ˠ|eːbˠ|ə|uasˠkəlʲtʲ,train/11850991507412538402.wav
ba namhaid i gcoitinne í an ghearmáin sa dara cogadh domhanda rud a spreag comhoibriú idir apss agus sam le deireadh an chogaidh áfach tháinig easaontas idir na tíortha de bharr na ndifríochtaí eatarthu maidir le córas polaitíochta próiseas agus cultúr,ˈbˠə|ˈn̻ˠaudʲ|ˈi|ˈɡotʲənʲə|ˈiː|ˈən̻ˠ|[UNK]|ˈsˠə|ˈd̪ˠaɾˠə|ˈkoɡuː|ˈd̪ˠaun̻ˠd̪ˠə|ˈɾˠud̪ˠ|ə|ˈsˠpʲɾʲaɡ|ˈkoːˈobʲɾʲuː|ˈidʲəɾʲ|[UNK]|ˈəɡəsˠ|[UNK]|ˈlʲe|ˈdʲeɾʲuː|ˈən̻ˠ|ˈxoɡiː|ˈaːfˠah|ˈhaːnʲəɟ|ˈaˈsˠiːn̻ˠt̪ˠəsˠ|ˈidʲəɾʲ|ˈn̻ˠə|ˈtʲiːɾˠhə|ˈd̪ˠe|ˈvˠaːɾˠ|ˈn̻ˠə|nʲifʲɾʲiaɾˠt̪ˠiː|ˈat̪ˠɾˠuː|ˈmˠadʲəɾʲ|ˈlʲe|ˈkoːɾˠəsˠ|ˈpˠol̻ˠətʲiˑəɾˠt̪ˠə|ˈpˠɾˠoːʃəsˠ|ˈəɡəsˠ|ˈkul̻ˠt̪ˠuɾˠ,train/11851119320615054137.wav
tá sí faoi choimeád ar feitheamh díotála agus trialach ach is féidir go mbeidh aon fhianaise ó fhinnéithe súl truaillithe toisc gur foilsíodh pictiúir di go forleathan,ˈt̪ˠaː|ˈʃiː|ˈfˠiː|xomʲad̪ˠ|ˈeɾʲ|ˈfʲaihʲuː|dʲiːt̪ˠaːl̻ˠə|ˈəɡəsˠ|ˈtʲɾʲial̻ˠah|ˈah|ˈisˠ|ˈfʲeːdʲəɾʲ|ˈɡə|ˈmˠeː|ˈeːn̻ˠ|ian̻ˠəʃə|ˈoː|in̻ʲeːçə|ˈsˠuːl̻ˠ|ˈt̪ˠɾˠuˑəl̻ʲəhə|ˈt̪ˠoʃc|ˈɡəɾˠ|fˠolʲʃiːuː|pʲictʲuːɾʲ|ˈd̪ˠi|ˈɡə|ˈfˠoɾˠˈlʲahən̻ˠ,train/11857555212388282716.wav
gheofar bonneagar mór turasóireachta in san francisco - mórchuid óstán bialann agus saoráidí comhdhála den scoth,ˈjoːfˠəɾˠ|ˈbˠon̻ˠaɡəɾˠ|ˈmˠoːɾˠ|t̪ˠuɾˠəsˠoːɾʲəɾˠt̪ˠə|ˈinʲ|sˠən̻ˠ|[UNK]|[UNK]|ˈmˠoːɾˠxidʲ|ˈoːsˠt̪ˠaːn̻ˠ|ˈbʲial̻ˠən̻ˠ|ˈəɡəsˠ|ˈsˠiːˈɾˠaːdʲiː|ˈkoːˈɣaːl̻ˠə|ˈdʲənʲ|ˈsˠkoh,train/11861599445232996042.wav
ba seó speisialta ón ngrúpa cáiliúil cirque du soleil a chur tús leis an gceiliúradh,ˈbˠə|ˈʃoː|ˈsˠpʲeʃial̻ˠt̪ˠə|ˈoːn̻ˠ|ŋɾˠuːpˠə|ˈkaːlʲulʲ|[UNK]|[UNK]|[UNK]|ə|ˈxuɾˠ|ˈt̪ˠuːsˠ|ˈlʲiʃ|ˈən̻ˠ|ɟelʲuːɾˠuː,train/1186270520887834315.wav
an cuspóir atá leis ná tuilleadh smachta a thabhairt do na cuideachtaí sin ar a gcuid margaí airgead a bheith i gcúrsaíocht an rud is tábhachtaí,ˈən̻ˠ|ˈkusˠpˠoɾʲ|əˈt̪ˠaː|ˈlʲiʃ|ˈn̻ˠaː|ˈt̪ˠil̻ʲuː|sˠmˠaɾˠt̪ˠə|ə|ˈhoːɾʲtʲ|ˈd̪ˠə|ˈn̻ˠə|kidʲəɾˠt̪ˠiː|ˈʃinʲ|ˈeɾʲ|ə|ˈɡidʲ|mˠaɾˠəɡiː|ˈaɾʲəɟəd̪ˠ|ə|ˈvʲehʲ|ˈi|ɡuːɾˠsˠiaht̪ˠ|ˈən̻ˠ|ˈɾˠud̪ˠ|ˈisˠ|ˈt̪ˠaːvˠaxt̪ˠiː,train/11868269618932665256.wav
tá sé socraithe go mbeidh gailf agus rugbaí araon ina gcuid de na cluichí oilimpeacha arís,ˈt̪ˠaː|ˈʃeː|ˈsˠokɾˠihʲə|ˈɡə|ˈmˠeː|ˈɡalʲfʲ|ˈəɡəsˠ|ˈɾˠoɡbˠiː|ˈəɾˠin̻ˠ|ˈin̻ˠə|ˈɡidʲ|ˈd̪ˠe|ˈn̻ˠə|ˈkl̻ˠihʲi|olʲimʲpʲahə|əˈɾʲiːʃ,train/11871890086196013651.wav
níl a láithreacht aitheanta ach de bharr a tionchar ar leathnú na cruinne,ˈn̻ʲiːlʲ|ə|ˈl̻ˠaːhʲɾʲaxt̪ˠ|ˈaihʲən̻ˠt̪ˠə|ˈah|ˈd̪ˠe|ˈvˠaːɾˠ|ə|ˈtʲon̻ˠəhəɾˠ|ˈeɾʲ|ˈl̻ʲaˈn̻ˠuː|ˈn̻ˠə|ˈkɾˠin̻ʲə,train/11878000548993492505.wav
dúirt david o'shannessy príomhchigire rspca new south wales leis an abc gur chóir go mbeadh faireachas agus cigireachtaí ar sheamlais coitianta san astráil,ˈd̪ˠuːɾʲtʲ|[UNK]|[UNK]|ˈpʲɾʲiːvˠˈçiɟəɾʲə|[UNK]|[UNK]|[UNK]|[UNK]|ˈlʲiʃ|ˈən̻ˠ|[UNK]|ˈɡəɾˠ|ˈxoːɾʲ|ˈɡə|ˈmʲeːuː|fˠaɾʲəhəsˠ|ˈəɡəsˠ|[UNK]|ˈeɾʲ|çamˠl̻ˠəʃ|ˈkotʲian̻ˠt̪ˠə|sˠən̻ˠ|[UNK],train/11880696718767202388.wav
mura bhfuil iarann ​​ar fáil nó mura bhfuil fonn ort stocaí iarnáilte a chaitheamh is féidir leat triail a bhaint as triomadóir gruagaire má tá ceann ar fáil,ˈmˠuɾˠə|ˈvˠilʲ|ˈiaɾˠən̻ˠ|[UNK]|ˈfˠaːlʲ|ˈn̻ˠoː|ˈmˠuɾˠə|ˈvˠilʲ|ˈfˠon̻ˠ|ˈoɾˠt̪ˠ|sˠt̪ˠokiː|iaɾˠn̻ˠaːlʲtʲə|ə|ˈxahʲuː|ˈisˠ|ˈfʲeːdʲəɾʲ|ˈlʲat̪ˠ|ˈtʲɾʲialʲ|ə|ˈvˠanʲtʲ|ˈasˠ|ˈtʲɾʲimˠəd̪ˠoɾʲ|ˈɡɾˠuaɡəɾʲə|ˈmˠa|ˈt̪ˠaː|ˈcin̻ˠ|ˈeɾʲ|ˈfˠaːlʲ,train/11882108288086863803.wav
aire don chuairteoir nach ón stát é ní áiteanna maithe i gcónaí iad beáir na mbailte beaga anseo le bheith ag crochadh thart iontu,ˈaɾʲə|ˈd̪ˠon̻ˠ|xuaɾˠtʲoɾʲ|ˈn̻ˠah|ˈoːn̻ˠ|ˈsˠt̪ˠaːt̪ˠ|ˈeː|ˈn̻ʲiː|aːtʲən̻ˠə|ˈmˠahʲə|ˈi|ˈɡoːn̻ˠiː|ˈiad̪ˠ|bʲaːɾʲ|ˈn̻ˠə|mˠalʲtʲə|ˈbʲoɡə|ən̻ˠˈʃo|ˈlʲe|ˈvʲehʲ|ˈeɟ|ˈkɾˠoxuː|ˈhaɾˠt̪ˠ|ˈin̻ˠt̪ˠuː,train/11892593284459233451.wav
daoine a smaoiníonn ar an tslí seo deirtear go bhfuil siad loighciúil agus bíonn ar a gcumas patrúin a chur de ghlanmheabhair fadhbanna a fhuascailt agus turgnaimh eolaíochta a dhéanamh,ˈd̪ˠiːnʲiː|ə|sˠmˠiːnʲiːn̻ˠ|ˈeɾʲ|ˈən̻ˠ|ˈtʲʃuːl̻ˠ|ˈʃo|ˈdʲeɾˠtʲəɾˠ|ˈɡə|ˈvˠilʲ|ˈʃiːd̪ˠ|ˈl̻ˠaiculʲ|ˈəɡəsˠ|ˈbʲiːn̻ˠ|ˈeɾʲ|ə|ɡumˠəsˠ|pˠat̪ˠɾˠunʲ|ə|ˈxuɾˠ|ˈd̪ˠe|ɣl̻ˠanʲəvˠoːɾʲ|ˈfˠad̪ˠˈhbˠan̻ˠə|ə|uasˠkəlʲtʲ|ˈəɡəsˠ|t̪ˠuɾˠəɡn̻ˠəvʲ|ˈoːl̻ˠiˑəɾˠt̪ˠə|ə|ˈjeːn̻ˠuː,train/11895174046680218129.wav
cé go bhfuil siorcanna ann bíonn eagla orthu roimh dhaoine agus is annamh a d'ionsódh siad shnámhadh a bhformhór leo ar eagla,ˈceː|ˈɡə|ˈvˠilʲ|ʃiɾˠkən̻ˠə|ˈən̻ˠ|ˈbʲiːn̻ˠ|ˈoɡl̻ˠə|ˈoɾˠhu|ˈɾˠivʲ|ˈɣiːnʲiː|ˈəɡəsˠ|ˈisˠ|ˈan̻ˠuː|ə|[UNK]|ˈʃiːd̪ˠ|n̻̊ˠaːvˠuː|ə|vˠaɾˠəvˠoɾˠ|ˈlʲoː|ˈeɾʲ|ˈoɡl̻ˠə,train/11906167973797032408.wav
ag an am céanna bhí cabhlach na gearmáine trí u-bháid a úsáid go príomha ag iarraidh stop a chur leis an trácht sin,ˈeɟ|ˈən̻ˠ|ˈamˠ|ˈceːɾˠn̻ˠə|ˈvʲiː|ˈkaul̻ˠah|ˈn̻ˠə|[UNK]|ˈtʲɾʲiː|[UNK]|ə|ˈuːsˠadʲ|ˈɡə|ˈpʲɾʲiːvˠə|ˈeɟ|ˈiaɾˠiː|ˈsˠt̪ˠopˠ|ə|ˈxuɾˠ|ˈlʲiʃ|ˈən̻ˠ|ˈt̪ˠɾˠaːxt̪ˠ|ˈʃinʲ,train/11906470536564985886.wav
d'fhreastail 100 duine ar a laghad ar an gcóisir chun comóradh pósta aon bhliana a cheiliúradh ar son lánúin ar pósadh anuraidh iad,dʲɾʲasˠt̪ˠəlʲ|[UNK]|ˈd̪ˠinʲə|ˈeɾʲ|ə|ˈl̻ˠeːd̪ˠ|ˈeɾʲ|ˈən̻ˠ|ɡoːʃiɾʲ|ˈxun̻ˠ|ˈkomˠoɾˠuː|ˈpˠoːsˠt̪ˠə|ˈeːn̻ˠ|vʲlʲian̻ˠə|ə|çelʲuːɾˠuː|ˈeɾʲ|ˈsˠon̻ˠ|ˈl̻ˠaːn̻ˠunʲ|ˈeɾʲ|ˈpˠoːsˠuː|əˈn̻ˠuɾˠiː|ˈiad̪ˠ,train/11906797014934751472.wav
deir aireacht geilleagair trádála agus tráchtála na seapáine meti go raibh siad ar an eolas faoi 27 timpiste bainteach leis na gléasanna,ˈdʲeɾʲ|ˈaɾʲaxt̪ˠ|ɟel̻ʲəɡəɾʲ|ˈt̪ˠɾˠaːd̪ˠaːl̻ˠə|ˈəɡəsˠ|ˈt̪ˠɾˠaːɾˠt̪ˠaːl̻ˠə|ˈn̻ˠə|[UNK]|[UNK]|ˈɡə|ˈɾˠoːvˠ|ˈʃiːd̪ˠ|ˈeɾʲ|ˈən̻ˠ|ˈoːl̻ˠəsˠ|ˈfˠiː|[UNK]|ˈtʲimʲpʲəʃtʲə|ˈbˠan̻ʲtʲah|ˈlʲiʃ|ˈn̻ˠə|ɟlʲeːsˠən̻ˠə,train/11924331765087907835.wav
bhí an twin otter ag iarraidh tuirlingt ag kokoda inné mar eitilt cg4684 aerlínte png ach bhí iarracht amháin in aisce déanta cheana,ˈvʲiː|ˈən̻ˠ|[UNK]|[UNK]|ˈeɟ|ˈiaɾˠiː|ˈt̪ˠuːɾˠlʲən̻ʲtʲ|ˈeɟ|[UNK]|əˈn̻ʲeː|mˠaɾˠ|ˈetʲəlʲtʲ|[UNK]|eːɾˠlʲiːnʲtʲə|[UNK]|ˈah|ˈvʲiː|ˈiaɾˠaxt̪ˠ|əˈvˠaːnʲ|ˈinʲ|ˈaʃcə|ˈdʲeːn̻ˠt̪ˠə|ˈçan̻ˠə,train/11944540083679588541.wav
creidtear gur shiúil an t-éan creiche lánchleiteach teofhuilteach seo ar dhá chos agus go raibh crúba aige cosúil leis an veileasaraptar,cɾʲetʲəɾˠ|ˈɡəɾˠ|ˈhʲuːlʲ|ˈən̻ˠ|tʲeːn̻ˠ|ˈcɾʲeçə|[UNK]|[UNK]|ˈʃo|ˈeɾʲ|ˈɣaː|xasˠ|ˈəɡəsˠ|ˈɡə|ˈɾˠoːvˠ|kɾˠuːbˠə|ˈeɟə|ˈkosˠulʲ|ˈlʲiʃ|ˈən̻ˠ|[UNK],train/11956139479858659156.wav
ba sna hóstáin seo a d'fhanadh daoine saibhre agus mór le rá an uair sin agus is minic a bhíodh mórdhinnéir agus siamsaíocht oíche acu,ˈbˠə|ˈsˠn̻ˠə|[UNK]|ˈʃo|ə|[UNK]|ˈd̪ˠiːnʲiː|sˠavʲɾʲə|ˈəɡəsˠ|ˈmˠoːɾˠ|ˈlʲe|ˈɾˠaː|ˈən̻ˠ|ˈuaɾʲ|ˈʃinʲ|ˈəɡəsˠ|ˈisˠ|ˈmʲinʲic|ə|ˈvʲiːuː|mˠoːɾˠjin̻ʲeɾʲ|ˈəɡəsˠ|ˈʃiˑəmˠsˠiˑəɾˠt̪ˠ|ˈiːhʲə|ˈakuː,train/11956971158337060765.wav
chuaigh vidal 28 bliain d'aois isteach le barça trí shéasúr ó shin tar éis dó aistriú ó sevilla,ˈxuaj|[UNK]|[UNK]|ˈbʲlʲianʲ|d̪ˠiːʃ|iʃˈtʲah|ˈlʲe|[UNK]|ˈtʲɾʲiː|çeːsˠuɾˠ|ˈoː|ˈhinʲ|ˈt̪ˠaɾˠ|ˈeːʃ|ˈd̪ˠoː|ˈaʃtʲɾʲuː|ˈoː|[UNK],train/11962987165823548147.wav
tá an fiadhúlra i measc na móitífeanna is dúshlánaí don ghrianghrafadóir agus is gá meascán d'ádh d'fhoighne de thaithí agus de threalamh maith chuige,ˈt̪ˠaː|ˈən̻ˠ|ˈfʲiˑəɣuːl̻ˠɾˠə|ˈi|ˈmʲasˠk|ˈn̻ˠə|mˠoːtʲiːfʲən̻ˠə|ˈisˠ|d̪ˠuːhl̻ˠaːn̻ˠiː|ˈd̪ˠon̻ˠ|jɾʲiaŋhɾˠəfˠəd̪ˠoɾʲ|ˈəɡəsˠ|ˈisˠ|ˈɡaː|ˈmʲasˠkan̻ˠ|[UNK]|d̪ˠeːnʲə|ˈd̪ˠe|haiçiː|ˈəɡəsˠ|ˈd̪ˠe|ɾ̥ʲal̻ˠuː|ˈmˠahʲ|ˈhiɟə,train/11964212199161416631.wav
braithimid gur crios sábháilteachta do na leanaí seo an córas cúraim altrama,bˠɾˠaiçimʲidʲ|ˈɡəɾˠ|ˈcɾʲisˠ|ˈsˠaːvˠaːlʲtʲəɾˠt̪ˠə|ˈd̪ˠə|ˈn̻ˠə|ˈl̻ʲan̻ˠiː|ˈʃo|ˈən̻ˠ|ˈkoːɾˠəsˠ|ˈkuːɾˠəmʲ|ol̻ˠt̪ˠɾˠəmˠə,train/11971789008349627591.wav
cé gur tír lochlannach' ab ea gach tír acu bhí go leor difríochtaí idir muintir ríthe nósanna agus stair na danmhairge na sualainne na hiorua agus na híoslainne,ˈceː|ˈɡəɾˠ|ˈtʲiːɾʲ|[UNK]|abˠ|ˈa|ˈɡah|ˈtʲiːɾʲ|ˈakuː|ˈvʲiː|ˈɡə|ˈl̻ʲoːɾˠ|dʲifʲɾʲiaɾˠt̪ˠiː|ˈidʲəɾʲ|ˈmˠitʲiɾʲ|ɾʲiːhʲə|ˈn̻ˠoːsˠən̻ˠə|ˈəɡəsˠ|ˈsˠt̪ˠaɾʲ|ˈn̻ˠə|[UNK]|ˈn̻ˠə|[UNK]|ˈn̻ˠə|[UNK]|ˈəɡəsˠ|ˈn̻ˠə|[UNK],train/11974585937353854982.wav
úsáidtear ríomhairí inniu le pictiúir agus físeáin a ionramháil,uːsˠaːtʲəɾˠ|ˈɾˠiːˈoːəɾʲiː|əˈn̻ʲuː|ˈlʲe|pʲictʲuːɾʲ|ˈəɡəsˠ|fʲiːʃanʲ|ə|ˈin̻ˠɾˠauəlʲ,train/11980545713950865688.wav
chuirfeadh na scamaill amhras ar dhuine cibé ar tharla brúchtadh iarbhír nó nár tharla,ˈxuɾʲhʲuː|ˈn̻ˠə|sˠkamˠəl̻ʲ|ˈauɾˠəsˠ|ˈeɾʲ|ˈɣinʲə|ˈcibʲiː|ˈeɾʲ|ˈhaɾˠl̻ˠə|ˈbˠɾˠuːɾˠt̪ˠuː|ˈiˑəɾˠˈvʲiːɾʲ|ˈn̻ˠoː|ˈn̻ˠaːɾˠ|ˈhaɾˠl̻ˠə,train/11980700534378412801.wav
tá feabhas mór tagtha ar na hinnill aistriúcháin agus anois is minic a thugann siad aistriúcháin atá cruinn a bheag nó a mhór agus tá an raiméis ag éirí níos neamhchoitianta ach is gá a bheith cúramach de bhrí gur féidir botúin a bheith ann i gcónaí,ˈt̪ˠaː|ˈfʲausˠ|ˈmˠoːɾˠ|ˈt̪ˠaɡə|ˈeɾʲ|ˈn̻ˠə|hʲin̻ʲil̻ʲ|aʃtʲɾʲuːhanʲ|ˈəɡəsˠ|əˈn̻ˠiʃ|ˈisˠ|ˈmʲinʲic|ə|ˈhuɡən̻ˠ|ˈʃiːd̪ˠ|aʃtʲɾʲuːhanʲ|əˈt̪ˠaː|ˈkɾˠin̻ʲ|ə|ˈvʲoɡ|ˈn̻ˠoː|ə|ˈvˠoːɾˠ|ˈəɡəsˠ|ˈt̪ˠaː|ˈən̻ˠ|ˈɾˠamʲeʃ|ˈeɟ|ˈiːɾʲiː|ˈnʲiːsˠ|ˈnʲauˈxotʲian̻ˠt̪ˠə|ˈah|ˈisˠ|ˈɡaː|ə|ˈvʲehʲ|ˈkuːɾˠəmˠah|ˈd̪ˠe|vʲɾʲiː|ˈɡəɾˠ|ˈfʲeːdʲəɾʲ|bˠat̪ˠunʲ|ə|ˈvʲehʲ|ˈən̻ˠ|ˈi|ˈɡoːn̻ˠiː,train/119869336959041788.wav
is é iarúsailéim an phríomhchathair agus an chathair is mó san iosrael cé nach n-aithníonn formhór tíortha agus na náisiúin aontaithe é mar phríomhchathair iosrael,ˈisˠ|ˈeː|[UNK]|ˈən̻ˠ|fʲɾʲiːvˠhəhəɾʲ|ˈəɡəsˠ|ˈən̻ˠ|ˈxahəɾʲ|ˈisˠ|ˈmˠoː|sˠən̻ˠ|[UNK]|ˈceː|ˈn̻ˠah|n̻ˠaiçnʲiːn̻ˠ|ˈfˠoɾˠvˠoɾˠ|ˈtʲiːɾˠhə|ˈəɡəsˠ|ˈn̻ˠə|n̻ˠaːʃuːnʲ|[UNK]|ˈeː|mˠaɾˠ|fʲɾʲiːvˠhəhəɾʲ|[UNK],train/11991184662047832405.wav
déanfaimid ár ndícheall astaíochtaí dé-ocsaíd charbóin in aghaidh an aonaid oti a ghearradh de chorrlach suntasach faoi 2020 ó leibhéal 2005 a dúirt hu,ˈdʲeːn̻ˠhəmʲidʲ|ˈaːɾˠ|nʲiːhʲəl̻ˠ|asˠt̪ˠiaht̪ˠiː|ˈdʲeːokˈsˠidʲ|ˈxaɾˠəbˠonʲ|ˈinʲ|ˈeːj|ˈən̻ˠ|iːn̻ˠədʲ|[UNK]|ə|jaɾˠuː|ˈd̪ˠe|xaɾˠl̻ˠah|ˈsˠun̻ˠt̪ˠəsˠah|ˈfˠiː|[UNK]|ˈoː|ˈl̻ʲevʲel̻ˠ|[UNK]|ə|ˈd̪ˠuːɾʲtʲ|[UNK],train/11992395847318991376.wav
