audio,transcription
data/idlak/audio/cll_z0001_430.wav,An namhaid? Gach uile bhean eile.
data/idlak/audio/cll_z0001_431.wav,Is annamh iad ag feidhmiú san áit ar thibhe buillí agus ar thréine teagmháil
data/idlak/audio/cll_z0001_433.wav,"Ba é Henry Farren, snoíodóir cloch, a athair."
data/idlak/audio/cll_z0001_434.wav,"Ach a luaithe is a bhfágfá an Spidéal taobh thoir dhíot, bhí an Ghaeilge in uachtar."
data/idlak/audio/cll_z0001_435.wav,Pé samhlú is a dhéanaim beidh bréag air.
data/idlak/audio/cll_z0001_436.wav,"""Seo dhaoibh póigín ó bharr mo mhéar!"" arsa Lugh agus rith sé leis."
data/idlak/audio/cll_z0001_437.wav,"Leanas orm in airde de ruathar, é ag cúngú ina shimléar."
data/idlak/audio/cll_z0001_438.wav,bhí an scéal riamh amhlaidh.
data/idlak/audio/cll_z0001_439.wav,"Le gach boin a boinín, le gach cás a leithscéal."
data/idlak/audio/cll_z0001_440.wav,Is Gaeilgeoir líofa Gaeltachta mé
data/idlak/audio/cll_z0001_442.wav,Splanc bheag rua agus donn gan choinne
data/idlak/audio/cll_z0001_443.wav,ní dheinim nótaí ná réamhdhréacht.
data/idlak/audio/cll_z0001_444.wav,Murach iad ní bheadh dóchas ann anois.
data/idlak/audio/cll_z0001_446.wav,Deir siad liom cé acu píosa is greannmhaire.
data/idlak/audio/cll_z0001_447.wav,Scrios oidhreachta a bheadh ann.
data/idlak/audio/cll_z0001_448.wav,"""Tabharfaimid aire mhaith daoibh,"" a gheall sé"
data/idlak/audio/cll_z0001_450.wav,Bhíodar ciaptha de shíor ag iarraidh iad féin a chaolú agus a thanú
data/idlak/audio/cll_z0001_451.wav,bhí beirt deartháireacha ag Cyril agus beirt deirfiúracha.
data/idlak/audio/cll_z0001_452.wav,I gCill Fhionnúrach a bhí sí ina dhiaidh sin.
data/idlak/audio/cll_z0001_453.wav,"duine a thug seal ina oifigeach sa Daingean, contae Chiarraí, agus gaiscíoch go smior."
data/idlak/audio/cll_z0001_454.wav,"Dia le hadhradh nuair ba chuí, Dia eile fós nuair a d'athraigh an rialtas."
data/idlak/audio/cll_z0001_455.wav,"Beidh gadaí de Nollaig le Tom Murphy, aistrithe ag Brídín Nic Dhonncha, ar camchuairt ar ball."
data/idlak/audio/cll_z0001_456.wav,Ach bhí fearg an domhain ar mhuintir Québec.
data/idlak/audio/cll_z0001_457.wav,fiú mura bhfuil siad go hiomlán líofa.
data/idlak/audio/cll_z0001_458.wav,tá fuinneamh nua le mothú ann.
data/idlak/audio/cll_z0001_459.wav,trí chéad euro atá ann mar phríomhdhuais mar aon le corn buan.
data/idlak/audio/cll_z0001_460.wav,Aimsíonn siad bia abhus agus tearmann.
data/idlak/audio/cll_z0001_461.wav,ach theip ar a mhisneach.
data/idlak/audio/cll_z0001_463.wav,"An focal scoir ag Micheál D. Ó hUiginn, teachta dála"
data/idlak/audio/cll_z0001_464.wav,Go gcloise tú do chroí ag caint.
data/idlak/audio/cll_z0001_465.wav,Chuir sé sin leis an imeallú
data/idlak/audio/cll_z0001_466.wav,ní féidir ach méid áirithe a fhoghlaim
data/idlak/audio/cll_z0001_469.wav,"bhí cúigear searbhóntaí sa teach, chomh maith le buime."
data/idlak/audio/cll_z0001_470.wav,Deirtear gur chóirigh sé le haghaidh cló tuairim cúig chéad leabhar.
data/idlak/audio/cll_z0001_471.wav,bhí greim daingean ag an ndá láimh aici ar an dúrud málaí plaisteacha.
data/idlak/audio/cll_z0001_472.wav,tá lúb ar lár ansin.
data/idlak/audio/cll_z0001_473.wav,"Céim chun tosaigh, dhá chéim ar gcúl"
data/idlak/audio/cll_z0001_475.wav,tá iarracht níos fearr de dhíth uathu uilig.
data/idlak/audio/cll_z0001_477.wav,Níl luach ar bith orthu anois.
data/idlak/audio/cll_z0001_478.wav,"Nach sibhse a bhí aineolach, a Dheaid."
data/idlak/audio/cll_z0001_481.wav,tá an Gúm agus áis faoi
data/idlak/audio/cll_z0001_482.wav,Macasamhail lámh Midas ar an stair.
data/idlak/audio/cll_z0001_483.wav,"Ag ocht Sráid Morley, Port Láirge, a rugadh é"
data/idlak/audio/cll_z0001_484.wav,Rinne Heussaff taighde cuimsitheach agus í i mbun pinn.
data/idlak/audio/cll_z0001_485.wav,ní raibh baol ar bith ann dom.
data/idlak/audio/cll_z0001_486.wav,"dá mbeadh caint ag an leon, ní thuigfimis é"
data/idlak/audio/cll_z0001_487.wav,Ag fanacht le bus ar imeall chathair chorcaí a bhíos.
data/idlak/audio/cll_z0001_488.wav,mná óga dathúla a bhí iontu
data/idlak/audio/cll_z0001_489.wav,gabháil buíochais leis an ocht faoin gcéad
data/idlak/audio/cll_z0001_490.wav,Is amhlaidh a mhol Liam triúr easpag i ndán.
data/idlak/audio/cll_z0001_491.wav,"tá a fear céile, Laurence Flanagan, tugtha mar chomhúdar Irish Place Names."
data/idlak/audio/cll_z0001_492.wav,bhí píosa béaloidis i gcló aici in An tÉireannach Nollaig naoi déag tríocha a cúig
data/idlak/audio/cll_z0001_493.wav,"tá liosta agam, má tá sé uait."
data/idlak/audio/cll_z0001_494.wav,"Is é sin, bíonn spraoi ina chuid cainte leis na meáin."
data/idlak/audio/cll_z0001_495.wav,tá a chuid matán ag gobadh amach as an phic – bíodh is nach pic tríthoiseach é
data/idlak/audio/cll_z0001_496.wav,"ní mór clárú faoin Aoine, an ceathrú lá de mhí Iúil."
data/idlak/audio/cll_z0001_497.wav,Chuala gach coiscéim uaim ar an urlár adhmaid.
data/idlak/audio/cll_z0001_498.wav,"D'fhilleas abhaile níos boichte, níos saibhre."
data/idlak/audio/cll_z0001_499.wav,"beannófar SOIR uainn í, bliain na hainnise."
data/idlak/audio/cll_z0001_500.wav,Léirigh sé uafás an bháis dúinn.
data/idlak/audio/cll_z0001_501.wav,san áit is foigsi do shliabh síon
data/idlak/audio/cll_z0001_503.wav,"""Seafóid, a Ghabriel!"" ar sise."
data/idlak/audio/cll_z0001_504.wav,D'fhiafraigh Joe dínn ansin an raibh taithí ag duine ar bith dínn ar thraenáil seabhac nó fabhcún.
data/idlak/audio/cll_z0001_505.wav,ag tarraingt móna abhaile.
data/idlak/audio/cll_z0001_506.wav,Is léir go bhfuil siad fabhtach.
data/idlak/audio/cll_z0001_507.wav,Múineann haiku é sin dúinn.
data/idlak/audio/cll_z0001_508.wav,"Tuigeann tú cén fáth, a Thiarna."
data/idlak/audio/cll_z0001_509.wav,tá fabhtanna eile sa chóras.
data/idlak/audio/cll_z0001_510.wav,"Cad dúirt Aodh Mór Ó Neill? ""Beidh lá geal gréine go fóill in éirinn"""
data/idlak/audio/cll_z0001_511.wav,Chaith sé seal i Londain leis na imreoirí Éireannacha.
data/idlak/audio/cll_z0001_512.wav,Cuireadh tórramh trí lá uirthi.
data/idlak/audio/cll_z0001_513.wav,"bhí beirt chara linn chomh maith, Osman agus Ajmal, teifigh Mhoslamacha ón Afganastáin."
data/idlak/audio/cll_z0001_514.wav,Níl bunús ar bith eolaíoch lena cuid tuairimí
data/idlak/audio/cll_z0001_516.wav,Is trua gur chaill Tomás Ó Dúlaing a phost.
data/idlak/audio/cll_z0001_517.wav,"ní chreidfeá é, ach is geall le Búda Ceilteach é"
data/idlak/audio/cll_z0001_518.wav,Is minic nach leanann an díograis is an spraoi.
data/idlak/audio/cll_z0001_519.wav,Is léir freisin go raibh meas mór aige ar Fhíníní a óige
data/idlak/audio/cll_z0001_520.wav,ní leigheasfadh leithscéalta a bpian.
data/idlak/audio/cll_z0001_522.wav,Ach de réir a chéile d'fhoghlaim mé í
data/idlak/audio/cll_z0001_523.wav,trí phunt atá ar na ticéid.
data/idlak/audio/cll_z0001_524.wav,Bhíomar an-chúramach á ardú ag seachaint gríobha nimhneacha an fhabhcúin óig
data/idlak/audio/cll_z0001_525.wav,Oibríonn agus cónaíonn Rofes timpeall chathair Perpignan.
data/idlak/audio/cll_z0001_526.wav,Cailleach bhréan na Breataine Bige.
data/idlak/audio/cll_z0001_527.wav,Is é ús réalachas na hEorpa é
data/idlak/audio/cll_z0001_528.wav,Filleann an caife Gorm mar chaife Cois Life.
data/idlak/audio/cll_z0001_529.wav,Beidh córas comhuaineach ar fáil.
data/idlak/audio/cll_z0001_530.wav,tá an praghas iomlán seafóideach.
data/idlak/audio/cll_z0001_531.wav,Chúig chúilín déag a fuair Tiobraid Árann
data/idlak/audio/cll_z0001_532.wav,Aclaítear í mar uirlis bhríomhar nua-aimseartha.
data/idlak/audio/cll_z0001_533.wav,seastán smige nuair a thagann tuirse ort
data/idlak/audio/cll_z0001_534.wav,Dúnmharfóir a bhí ag caitheamh Doc Martins.
data/idlak/audio/cll_z0001_535.wav,Dúradh liom go ndéanfadh brabús.
data/idlak/audio/cll_z0001_536.wav,Is trua fosta go bhfuil caint ann ar Oifig an Choimisinéara a lonnú thiar.
data/idlak/audio/cll_z0001_537.wav,"Diaidh ar ndiaidh, d'éalaigh pé cúthaileacht."
data/idlak/audio/cll_z0001_538.wav,bhí an Eoraip Chríostaí riamh amhrastúil faoi Ghiúdaigh.
data/idlak/audio/cll_z0001_539.wav,Ba í Máire Nig Ulghairg a mháthair.
data/idlak/audio/cll_z0001_540.wav,Ciarán a dhréachtaigh plean chun páipéar nua a fhoilsiú
data/idlak/audio/cll_z0001_541.wav,Is albam do lucht leanúna agus éisteachta dílis síoraí u two é seo.
data/idlak/audio/cll_z0001_542.wav,Cad a thabharfá ar bhall den R A F nach píolóta
data/idlak/audio/cll_z0001_544.wav,Is tréimhse speisialta spéisiúil lán le spraoi agus spiorad í
data/idlak/audio/cll_z0001_545.wav,Thiomáin sí as a bealach leis an ticéad a bhailiú ó Eoghan.
data/idlak/audio/cll_z0001_546.wav,"Ach tá tú óg, agus teastaíonn uait an saol a bhlaiseadh."
data/idlak/audio/cll_z0001_548.wav,"Go deimhin, is gairid go dtuigimid go bhfuil an Luch Oibre ag sceamhaíl."
data/idlak/audio/cll_z0001_549.wav,Ar deachtóir é Fidel? B'ea go follasach.
data/idlak/audio/cll_z0001_552.wav,Aistear trastíre le tasc faoi leith a chur i gcrích agus rudaí ag tarlú faoi thrí
data/idlak/audio/cll_z0001_553.wav,"Samhlaíocht ghlan, a léitheoir dhil."
data/idlak/audio/cll_z0001_554.wav,tá cáil ar go leor daoine dá shliocht.
data/idlak/audio/cll_z0001_556.wav,Is leagan ar leith de chuid atá againn i gcás Na Sailm
data/idlak/audio/cll_z0001_557.wav,bhí Sarah de Búrca ann chun níos mó eolais a fháil.
data/idlak/audio/cll_z0001_559.wav,tá ceist airgeadais ann fosta.
data/idlak/audio/cll_z0001_560.wav,Iarradh freisin go mbeadh comhoibriú ar bhonn
data/idlak/audio/cll_z0001_563.wav,Is geall le bheith ag siúl trí cheacht céimseatan cuid acu.
data/idlak/audio/cll_z0001_564.wav,"ní bheadh fadhb ar bith againn, a dúirt muid."
data/idlak/audio/cll_z0001_565.wav,Is maith ann é an bhéim ar fhorbairt phobail.
data/idlak/audio/cll_z0001_566.wav,bhí boladh barbeque ag éirí ón ngairdín aníos ach bheireas greim ar mo pheann gorm.
data/idlak/audio/cll_z0001_568.wav,Tugann Vincent Morley le fios in D I B gurbh é Dáire Mac Bruaideadha a athair.
data/idlak/audio/cll_z0001_570.wav,Bronnadh ceann de Dhuaiseanna Jacob air.
data/idlak/audio/cll_z0001_571.wav,Bean fhiata ar fiuchadh go fraochta.
data/idlak/audio/cll_z0001_572.wav,"San leasú céanna sin, chaithfí painéil éagsúla a bheith ann."
data/idlak/audio/cll_z0001_574.wav,Féach ar a bhfuil de stáisiúin teilifíse is raidió ann.
data/idlak/audio/cll_z0001_575.wav,"Cloisim ann an cliabhán á luascadh, an naíonán ar diúl."
data/idlak/audio/cll_z0001_576.wav,tá go leor airgid ann do chách.
data/idlak/audio/cll_z0001_577.wav,Is dia iontach ar fad é
data/idlak/audio/cll_z0001_578.wav,Is é an fhírinne é; is é an Ard-Bheith é
data/idlak/audio/cll_z0001_579.wav,Go samhla tú aoibhnis a gheobhaidh daoine eile
data/idlak/audio/cll_z0001_581.wav,Is leor go dtuigfimid go bhfuil sé ann.
data/idlak/audio/cll_z0001_583.wav,De choiréal geal é gaineamh mín na trá
data/idlak/audio/cll_z0001_584.wav,ní rabhas ag smaoineamh beag ná mór cá rabhas ag dul.
data/idlak/audio/cll_z0001_588.wav,Ba é a thug dídean d'Uilliam Bedell
data/idlak/audio/cll_z0001_589.wav,Andy Murray slán i gCraobh na bhFear.
data/idlak/audio/cll_z0001_590.wav,ní rabhadar sochreidte sa ról.
data/idlak/audio/cll_z0001_591.wav,ní beag an bua é sin.
data/idlak/audio/cll_z0001_592.wav,tá an lá dírithe ar thrí aoisghrúpa.
data/idlak/audio/cll_z0001_593.wav,Moltar go láidir focal a chur ar thicéad.
data/idlak/audio/cll_z0001_594.wav,bhí páirt mhór aige i gcur faoi chois éirí amach Aoidh Mhig Uidhir i bhFear Manach.
data/idlak/audio/cll_z0001_595.wav,Seanleabhair a bhí bunaithe ar ghiob-geab.
data/idlak/audio/cll_z0001_596.wav,Bheinn ag insint bréag dá ndéarfainn go raibh sin eisceachtúil.
data/idlak/audio/cll_z0001_599.wav,Ghabh bó bheannaithe eile thar bráid.
data/idlak/audio/cll_z0001_600.wav,"Dúirt tú é, a Airt."
data/idlak/audio/cll_z0001_601.wav,"Agus má chleachtann tú é, feicfidh tú é"
data/idlak/audio/cll_z0001_603.wav,Tír ar leith í an Iaráin.
data/idlak/audio/cll_z0001_605.wav,tá an chosúlacht ar an scéal go mbeidh Geimhreadh guagach romhainn.
data/idlak/audio/cll_z0001_606.wav,Is mar sin a athraíonn an saol.
data/idlak/audio/cll_z0001_607.wav,"Spreagadh atá de dhíth orthu, chan díspeagadh."
data/idlak/audio/cll_z0001_608.wav,Dódh go han-dona é sa chaoi go mbeadh aghaidh nua de dhíth air.
data/idlak/audio/cll_z0001_609.wav,Is dócha go bhfuil sé fós fíor.
data/idlak/audio/cll_z0001_610.wav,Is i ndiaidh ar ndiaidh a chreimtear an caisleán.
data/idlak/audio/cll_z0001_612.wav,D'fháiltigh an tríú rún roimh mholtaí
data/idlak/audio/cll_z0001_614.wav,tá an Phailis tuairim ocht míle soir ó thuaidh ó Ghuaire.
data/idlak/audio/cll_z0001_615.wav,Ag a Aifreann éagnairce seinneadh ceol Aifrinn a chum sé féin
data/idlak/audio/cll_z0001_617.wav,Fair plé don lead sin.
data/idlak/audio/cll_z0001_618.wav,Thángthas ar choirp bheirt fhear in árasán i gcathair Luimnigh.
data/idlak/audio/cll_z0001_621.wav,líníochtaí is ea iad
data/idlak/audio/cll_z0001_622.wav,"Faraor, tá lámh agus focal idir Polo agus Claudia Schiffer."
data/idlak/audio/cll_z0001_623.wav,Chuir an eachtra tús le seachtain uafásach.
data/idlak/audio/cll_z0001_624.wav,Maigh Eo a sheas idir iad agus Craobh Chonnacht.
data/idlak/audio/cll_z0001_625.wav,"Ghnóthaigh siad, ach bua crua gan stíl a bhí ann."
data/idlak/audio/cll_z0001_626.wav,Is de shliocht Luo iad muintir Obama agus tá clú orthu as a bheith sa tóir ar oideachas.
data/idlak/audio/cll_z0001_627.wav,"Ach bhí ceol maith ann, cé nach n-aontódh m'athair bocht liom."
data/idlak/audio/cll_z0001_629.wav,"má thig le daoine eile é a dhéanamh, tig linne."
data/idlak/audio/cll_z0001_630.wav,Is mise Maidhc chomh maith.
data/idlak/audio/cll_z0001_631.wav,Bualadh boinn speisialta airgid ina chuimhne.
data/idlak/audio/cll_z0001_632.wav,Shoiprigh an triúr acu iad féin faoi chrann.
data/idlak/audio/cll_z0001_633.wav,bhí na horlaí eile uaidh sa chiseán.
data/idlak/audio/cll_z0001_634.wav,Radharc speisialta atá geallta cinnte.
data/idlak/audio/cll_z0001_635.wav,tá loch sa bpáirc mar a mbíonn lachain fhiáine ag snámh.
data/idlak/audio/cll_z0001_636.wav,Táimid timpeallaithe ag callán de gach saghas.
data/idlak/audio/cll_z0001_637.wav,Aithnímid poll Tí Liabáin thíos fúinn agus feicimid sinn féin ann.
data/idlak/audio/cll_z0001_639.wav,Chraith Conal lámha leosan leis arís is arís.
data/idlak/audio/cll_z0001_640.wav,B'iontach an plean gnó é nuair a smaoiníonn
data/idlak/audio/cll_z0001_641.wav,"Éireannaigh iad ar fad de réir rialacha FIFA, níl aon rud as bealach faoi sin."
data/idlak/audio/cll_z0001_644.wav,"""Talamh bán,"" a bhí ann mar Bhostún."
data/idlak/audio/cll_z0001_645.wav,bhí an slua faoi gheasa acu.
data/idlak/audio/cll_z0001_646.wav,Thiocfadh leat an rud céanna a rá fá theanga.
data/idlak/audio/cll_z0001_647.wav,bhí cúpla orlach uisce ag a bhun agus é lán foichí
data/idlak/audio/cll_z0001_648.wav,Níl a leithéid i gceist le post an Choimisinéara.
data/idlak/audio/cll_z0001_649.wav,Tig leat amhrán a mholadh ach téacs a chur go anocht f m ag r t e ponc i e
data/idlak/audio/cll_z0001_650.wav,"Téid ceol le gaoth, ach téid beart go cnámh."
data/idlak/audio/cll_z0001_651.wav,Ó am go chéile níor léir di ach gealacáin a shúl.
data/idlak/audio/cll_z0001_654.wav,San iomlán dheineadar dhá mhíle trí chéad ionsaí ón aer ar cheantar cúng Gaza.
data/idlak/audio/cll_z0001_655.wav,ciníocha á nglaoch ag cuid den dream
data/idlak/audio/cll_z0001_656.wav,ní raibh uisce te ann.
data/idlak/audio/cll_z0001_657.wav,Foilsíodh an réamhrá in Irisleabhar Mhuighe Nuadhad.
data/idlak/audio/cll_z0001_659.wav,D'aistrigh sé leabhar
data/idlak/audio/cll_z0001_660.wav,tá sé curtha i Reilig an Choilligh sa Spidéal.
data/idlak/audio/cll_z0001_661.wav,D'éag sé deich aon Bealtaine dhá mhíle
data/idlak/audio/cll_z0001_662.wav,Tá siad chun seaicéid chulaith dhubha a mheascadh le hoodies
data/idlak/audio/cll_z0001_663.wav,"Agus ionas nach mbeidh díomá ort, ná téigh in aice leis an gclub Tresor – is áit uafásach í"
data/idlak/audio/cll_z0001_664.wav,"Faraor, níor éirigh leis an phróiseas athneartaithe."
data/idlak/audio/cll_z0001_665.wav,ní bheidh athbhreathnú á dhéanamh ar chinneadh na moltóirí
data/idlak/audio/cll_z0001_666.wav,Dord den scoth ó Karl.
data/idlak/audio/cll_z0001_667.wav,"Is duine den ""ghlúin chaillte"" é Geoff."
data/idlak/audio/cll_z0001_668.wav,"Bua do na daoine, agus bua don daonlathas é seo, bua ón mbun aníos."
data/idlak/audio/cll_z0001_669.wav,Is é an scéal céanna ag na húdaráis áitiúla é
data/idlak/audio/cll_z0001_671.wav,Bertie agus a chairde nó an dream eile? Ní gá ach cliceáil.
data/idlak/audio/cll_z0001_675.wav,"Pé cúis a bhí leis, níl spéis dá laghad agam ann."
data/idlak/audio/cll_z0001_676.wav,Uain suain ón saol amuigh í
data/idlak/audio/cll_z0001_677.wav,bhí dhá Eoraip ann i gcónaí riamh.
data/idlak/audio/cll_z0001_678.wav,tá Pósadh Figaro á stáitsiú in ómós do Phádraig Ó hÉanaí
data/idlak/audio/cll_z0001_679.wav,Nach bhfuil pilibíní anseo ó aimsir an Bhúda
data/idlak/audio/cll_z0001_680.wav,D'imigh sé leis go Dún Dealgan.
data/idlak/audio/cll_z0001_683.wav,Thimpeallaigh Aonghus Éire ag scigmhagadh faoi na huaisle.
data/idlak/audio/cll_z0001_684.wav,bhí sé in aon rang le Mícheál Ó Domhnaill
data/idlak/audio/cll_z0001_685.wav,Ba scéalaí maith Pádraig agus bhailigh Liam Mac Meanman iad.
data/idlak/audio/cll_z0001_686.wav,Smaoinigh faoi ar nós preppy in aghaidh síc an choláiste! Bígí ag fáil réidh.
data/idlak/audio/cll_z0001_687.wav,Is é an dráma príomhthionscnamh na bliana i Moinseo.
data/idlak/audio/cll_z0001_689.wav,tá thart faoi sheachtó suíochán sa New Theatre.
data/idlak/audio/cll_z0001_690.wav,Ba mhór aige aon chúnamh.
data/idlak/audio/cll_z0001_691.wav,Sheas sé leis sin
data/idlak/audio/cll_z0001_692.wav,"Braoinín fuisce, b'fhéidir? Bhí gá le huchtach éigin"
data/idlak/audio/cll_z0001_693.wav,Dum Ting is ainm dúinn.
data/idlak/audio/cll_z0001_696.wav,Cuirim mo chuidse figiúr ar fad isteach san inneall.
data/idlak/audio/cll_z0001_697.wav,ní theastaíonn siad ó éinne
data/idlak/audio/cll_z0001_698.wav,"Is muidne a bheidh mar dheisceabail, ag scaipeadh an tsoiscéil."
data/idlak/audio/cll_z0001_699.wav,tá plean ag Arnie dúinn.
data/idlak/audio/cll_z0001_700.wav,Raghadsa amach agus beidh fhios ag duine éigin amuigh iad.
data/idlak/audio/cll_z0001_701.wav,Ba mhó an draíocht a bhain le cluichí san oíche.
data/idlak/audio/cll_z0001_702.wav,"Caspar Klaj, seacht mbliana déag d'aois ó íochtar Dusseldorf."
data/idlak/audio/cll_z0001_703.wav,Is maith liom a gcuid céapar.
data/idlak/audio/cll_z0001_706.wav,Ba de shliocht na hAlban in oirthear Uladh a athair.
data/idlak/audio/cll_z0001_707.wav,Ina dhiaidh sin théadh sé go minic go dtí an Eoraip.
data/idlak/audio/cll_z0001_710.wav,D'éag sé deich aon Nollaig dhá mhíle
data/idlak/audio/cll_z0001_711.wav,Ró-éasca a rinne sé iad.
data/idlak/audio/cll_z0001_712.wav,bhí sé rannpháirteach le Siobhán Nic Cionnaith
data/idlak/audio/cll_z0001_713.wav,bhí sé ina láithreoir sa chlár raidió 'The Long note'
data/idlak/audio/cll_z0001_716.wav,bhí Meon Eile i láthair don fhéile agus le haghaidh sheoladh na n-amharcealaíon.
data/idlak/audio/cll_z0001_717.wav,Chroith an tAthair Giusep a cheann i dtreo Victor.
data/idlak/audio/cll_z0001_718.wav,Is uirlis iontach ar fad é
data/idlak/audio/cll_z0001_719.wav,"cá bhfuil na cait uait? Ag bailiú spíonán i gcomhair an dinnéir atá siad, a Louis."
data/idlak/audio/cll_z0001_720.wav,Ba cheart go mbeadh fhios agamsa é
data/idlak/audio/cll_z0001_721.wav,tá an Eoraip athraithe gan amhras.
data/idlak/audio/cll_z0001_724.wav,"Sea, tá muid ceart go leor."
data/idlak/audio/cll_z0001_726.wav,Saol na hainnise a bhíodh ann ag an dream a d'imíodh.
data/idlak/audio/cll_z0001_727.wav,Ag labhairt dó an Satharn seo caite dúirt Shane Ross nach mbeadh fuip i gceist sa chomhghuaillíocht nua.
data/idlak/audio/cll_z0001_728.wav,"An fhadhb faoi Dheilfe, áfach, go mbíodh sé go minic débhríoch."
data/idlak/audio/cll_z0001_729.wav,Thugas cuairt ar Bhruges agus ar Lováin.
data/idlak/audio/cll_z0001_731.wav,Thacaigh Foras na Gaeilge le hobair an choimisinéara.
data/idlak/audio/cll_z0001_732.wav,"Dúirt sé gur ""onóir agus pribhléid"" a bhí ann bheith athcheaptha ina choimisinéir."
data/idlak/audio/cll_z0001_733.wav,Theastaigh uaim iad go léir a thaifeadadh i bhfilíocht.
data/idlak/audio/cll_z0001_734.wav,Agus í ag imeacht san imigéin
data/idlak/audio/cll_z0001_735.wav,tá sé ag éirí ródheacair dóibh.
data/idlak/audio/cll_z0001_736.wav,bhí Gaeilge aige ón gcliabháin.
data/idlak/audio/cll_z0001_738.wav,Táilliúir ba ea a athair Christopher Delaney agus ba í Mary Quigley a mháthair.
data/idlak/audio/cll_z0001_740.wav,bhí sé in ospís le tamall.
data/idlak/audio/cll_z0001_741.wav,Reifreann faoi bhunreacht nua ordaithe ag Uachtarán na Siria Bashar al-Assad don fiche séú lá de mhí Feabhra.
data/idlak/audio/cll_z0001_742.wav,Ba thogra é de chuid Chomhairle Ceantair na hÓmaí
data/idlak/audio/cll_z0001_743.wav,Sceideal nua t g a ceathair
data/idlak/audio/cll_z0001_744.wav,ní thiocfadh liom gearán ar bith a dhéanamh faoi éifeacht na ngardaí
data/idlak/audio/cll_z0001_745.wav,Níor luadh ceachtar den dá ábhar
data/idlak/audio/cll_z0001_746.wav,tá na mílte corp pollta aige.
data/idlak/audio/cll_z0001_747.wav,Go dtuga Dia agus Allah ciall agus trócaire dúinn.
data/idlak/audio/cll_z0001_748.wav,Ba é a ghnó iad a roinnt go poiblí lena chuid léitheoirí
data/idlak/audio/cll_z0001_749.wav,Bheadh trua ag aon duine dóibh.
data/idlak/audio/cll_z0001_750.wav,Cheap mé leascheannasaí i bhfoirm aip chun súil a choinneáil ar na calraí
data/idlak/audio/cll_z0001_751.wav,Chuirfeadh sé samhnas air dá ligfí don bheirt líomhaintí a dhéanamh in aghaidh a gcomhoifigeach go poiblí
data/idlak/audio/cll_z0001_752.wav,d'aithneofaí sa chliabhán iad dá mbeadh na comharthaí níos soiléire.
data/idlak/audio/cll_z0001_753.wav,Lig mé osna dhomhain asam.
data/idlak/audio/cll_z0001_754.wav,Rinne mé aoibh dhoicheallach leis.
data/idlak/audio/cll_z0001_755.wav,Is minic gur doicheall agus dímheas a bhíonn rompu.
data/idlak/audio/cll_z0001_756.wav,Tógtar amach an deimheas agus an claíomh agus an sámh leictreach.
data/idlak/audio/cll_z0001_757.wav,Is mór an mhaith buíochas a ghabháil.
data/idlak/audio/cll_z0001_758.wav,"Is ea, is maith le daoine figiúir."
data/idlak/audio/cll_z0001_759.wav,Is sinne corpchnaipe an domhain.
data/idlak/audio/cll_z0001_760.wav,D'inis an méid sin go leor duit faoin bhfear uasal ceolmhar seo a d'imigh uainn le gairid.
data/idlak/audio/cll_z0001_761.wav,rothar a fháil ar cíos.
data/idlak/audio/cll_z0001_762.wav,Ba gheall le clabhsúr é dóibh ar scéal uafásach an ionsaithe.
data/idlak/audio/cll_z0001_763.wav,Theastaigh an fhéinriail uainn agus fuaireamar í sa deireadh.
data/idlak/audio/cll_z0001_764.wav,an lá deireanach a bhí mé ann.
data/idlak/audio/cll_z0001_765.wav,tá Gaelchultúr ag plé leis an earnáil phoiblí
data/idlak/audio/cll_z0001_766.wav,Bíonn siad ag déanamh plé faoi
data/idlak/audio/cll_z0001_768.wav,bhí sé ar dhuine de na scríobhaithe a rinne cóip de Leabhar Fhíodhnacha.
data/idlak/audio/cll_z0001_769.wav,Is as Baile átha Cliath ó dhúchas é
data/idlak/audio/cll_z0001_770.wav,Ba é a ghlac le Sadhbh
data/idlak/audio/cll_z0001_772.wav,I mí Lúnasa dhá mhíle a sé sheol Gmail a n-uirlis nua comhrá
data/idlak/audio/cll_z0001_773.wav,Ceol Gaelach nó ceol traidisiúnta nó ceol na Gaeltachta.
data/idlak/audio/cll_z0001_774.wav,Leabhar ait atá in An Ghaeilge Bheo.
data/idlak/audio/cll_z0001_775.wav,Is rud nua é sin sa Nua-Shéalainn.
data/idlak/audio/cll_z0001_776.wav,Is boichte go mór an Dáil gan é
data/idlak/audio/cll_z0001_777.wav,ní fheicfeá riamh i gculaith é
data/idlak/audio/cll_z0001_778.wav,cá bhfuil do thriall? A d'fhiafraigh an fear den fháinleog.
data/idlak/audio/cll_z0001_779.wav,Is baolach nach raibh an dara rang riamh ann
data/idlak/audio/cll_z0001_782.wav,"ní chreideann duine ar bith iad, mar ní hiad sin atá ag teastáil uathu."
data/idlak/audio/cll_z0001_784.wav,Sin a tharla tar éis athimeartha.
data/idlak/audio/cll_z0001_785.wav,An scairf sin ar a cloigeann.
data/idlak/audio/cll_z0001_786.wav,bhí naoi gcinn de ríthe rua ann sa deireadh.
data/idlak/audio/cll_z0001_787.wav,Fiche euro atá ar thicéad nó ar lacáiste.
data/idlak/audio/cll_z0001_788.wav,bhí plé agus míniú iomarcach.
data/idlak/audio/cll_z0001_789.wav,"""Go deimhin!"" arsa an t-athair."
